TAHUN_DIBUAT,NAMA_MODEL_YANG_SEBENAR,COUNT_NAMA_MODEL_YANG_SEBENAR
2007,C180K,91
2008,C180K,293
2009,C180K,78
2002,C180-W203,407
1994,C200,75
1997,C200,284
1998,C200,66
2000,C200,431
2001,C200,475
2008,C200,330
2010,C200,1173
2011,C200,1701
2012,C200,1580
2013,C200,1508
2014,C200,1128
2015,C200,678
2016,C200,662
2017,C200,434
2018,C200,1263
2019,C200,2193
2020,C200,16
2021,C200,2
2001,C200K,636
2002,C200K,376
2003,C200K,407
2004,C200K,142
2005,C200K,75
2006,C200K,137
2007,C200K,134
2008,C200K,181
2009,C200K,111
2010,C200K,26
2011,C200K,15
1994,C220,194
1995,C220,103
1996,C220,189
2006,C230,6
2008,C230,4
2009,C230,1
2004,C230K,19
2005,C230K,32
2000,C240,67
2001,C240,98
2010,C250,462
2011,C250,756
2014,C250,12
2015,C250,65
2016,C250,74
2017,C250,67
2018,C250,30
2015,C300,2
2016,C300,83
2017,C300,54
2018,C300,482
2019,C300,851
2000,C320,1
2012,C4,34
2010,C5,22
2002,CALDINA,500
2003,CALDINA,814
2004,CALDINA,689
2005,CALDINA,569
2006,CALDINA,261
2007,CALDINA,113
2011,CALIFORNIA,4
2015,CALIFORNIA,12
2011,CAMARO,2
2014,CAMARO,3
2016,CAMARO,1
1994,CAMRY,755
1996,CAMRY,1694
1997,CAMRY,1531
1998,CAMRY,501
1999,CAMRY,1771
2000,CAMRY,2027
2001,CAMRY,1018
2002,CAMRY,3183
2003,CAMRY,4939
2004,CAMRY,5159
2005,CAMRY,5027
2006,CAMRY,3939
2007,CAMRY,9243
2008,CAMRY,10245
2009,CAMRY,7998
2010,CAMRY,9725
2011,CAMRY,6467
2012,CAMRY,8438
2013,CAMRY,4630
2014,CAMRY,4691
2015,CAMRY,5924
2016,CAMRY,3095
2017,CAMRY,2431
2018,CAMRY,1536
2019,CAMRY,1238
2020,CAMRY,385
2021,CAMRY,532
2022,CAMRY,364
2023,CAMRY,1290
2008,CAPTIVA,287
2011,CAPTIVA,160
2012,CAPTIVA,254
2013,CAPTIVA,49
2014,CAPTIVA,2
2015,CAPTUR,48
2016,CAPTUR,323
2017,CAPTUR,215
2018,CAPTUR,651
2019,CAPTUR,698
1999,CARNIVAL,59
2017,CARNIVAL,508
2018,CARNIVAL,629
2019,CARNIVAL,697
2021,CARNIVAL,87
2022,CARNIVAL,1867
2023,CARNIVAL,572
2004,CAYENNE,136
2005,CAYENNE,211
2006,CAYENNE,151
2007,CAYENNE,348
2008,CAYENNE,345
2009,CAYENNE,69
2010,CAYENNE,198
2011,CAYENNE,402
2012,CAYENNE,296
2013,CAYENNE,158
2014,CAYENNE,102
2015,CAYENNE,126
2016,CAYENNE,54
2018,CAYENNE,112
2019,CAYENNE,152
2020,CAYENNE,50
2021,CAYENNE,202
2022,CAYENNE,390
2023,CAYENNE,329
2006,CAYMAN,134
2007,CAYMAN,139
2008,CAYMAN,101
2009,CAYMAN,94
2010,CAYMAN,65
2011,CAYMAN,69
2013,CAYMAN,125
2014,CAYMAN,121
2015,CAYMAN,62
2016,CAYMAN,59
2018,CAYMAN,18
2012,CC,720
2013,CC,478
2014,CC,135
1991,CEFIRO,209
1997,CEFIRO,972
1999,CEFIRO,574
2000,CEFIRO,865
2001,CEFIRO,659
2002,CEFIRO,1072
2003,CEFIRO,458
2004,CEFIRO,244
2005,CEFIRO,228
2007,CEFIRO,103
2000,CELICA,212
2001,CELICA,116
2002,CELICA,55
2003,CELICA,17
2013,CERATO,1669
2014,CERATO,3882
2015,CERATO,1841
2016,CERATO,903
2017,CERATO,832
2018,CERATO,1217
2019,CERATO,513
2020,CERATO,172
2016,CHALLENGER,2
2020,CHALLENGER,1
2021,CHALLENGER,1
2015,CHEROKEE,3
2018,CH-R,8
2017,C-HR,152
2018,C-HR,3909
2019,C-HR,2034
2020,C-HR,309
2021,C-HR,7
2005,CITRA,7819
2006,CITRA,14329
2007,CITRA,6473
2008,CITRA,4315
2009,CITRA,4431
2010,CITRA,1737
2011,CITRA,2042
2012,CITRA,375
1996,CITY,718
1997,CITY,3672
1998,CITY,797
2000,CITY,1313
2001,CITY,606
2003,CITY,7932
2004,CITY,7368
2005,CITY,10026
2006,CITY,9959
2007,CITY,8261
2008,CITY,8684
2009,CITY,18201
2010,CITY,18673
2011,CITY,9760
2012,CITY,12976
2013,CITY,16514
2014,CITY,34273
2015,CITY,36099
2016,CITY,28093
2017,CITY,29441
2018,CITY,33471
2019,CITY,33009
2020,CITY,16716
2021,CITY,18114
2022,CITY,43476
2023,CITY,20846
1991,CIVIC,3072
1992,CIVIC,4149
1993,CIVIC,2916
1994,CIVIC,3631
1995,CIVIC,3967
1996,CIVIC,8672
1997,CIVIC,6571
1998,CIVIC,1324
1999,CIVIC,1293
2000,CIVIC,677
2001,CIVIC,1824
2002,CIVIC,1046
2003,CIVIC,1868
2004,CIVIC,2178
2005,CIVIC,2397
2006,CIVIC,6890
2007,CIVIC,8363
2008,CIVIC,8124
2009,CIVIC,6810
2010,CIVIC,8356
2011,CIVIC,5683
2012,CIVIC,7450
2013,CIVIC,10290
2014,CIVIC,4207
2015,CIVIC,3751
2016,CIVIC,10867
2017,CIVIC,13414
2018,CIVIC,16024
2019,CIVIC,6169
2020,CIVIC,10239
2021,CIVIC,6290
2022,CIVIC,9503
2023,CIVIC,5825
2007,CL500,7
2010,CL500,3
2013,CLA180,107
2014,CLA180,221
2015,CLA180,405
2016,CLA180,404
2017,CLA180,471
2018,CLA180,380
2019,CLA180,101
2020,CLA180,37
2021,CLA180,8
2022,CLA180,1
2016,CLA200,152
2017,CLA200,388
2018,CLA200,247
2019,CLA200,54
2020,CLA200,43
2021,CLA200,1
2018,CLA220,13
2019,CLA220,45
2013,CLA250,132
2014,CLA250,177
2015,CLA250,179
2016,CLA250,114
2017,CLA250,63
2018,CLA250,20
2019,CLA250,83
2020,CLA250,52
2021,CLA250,12
2022,CLA250,2
2008,CLC180K,5
2014,CLIO,69
2015,CLIO,16
2016,CLIO,17
2004,CLK200K,33
2007,CLK200K,30
1998,CLK230K,1
2000,CLK230K,10
2003,CLK240,100
2000,CLK320,1
2009,CLS,3
2005,CLS350,228
2006,CLS350,277
2007,CLS350,135
2008,CLS350,24
2009,CLS350,5
2011,CLS350,102
2012,CLS350,51
2013,CLS350,21
2014,CLS350,7
2019,CLS350,5
2020,CLS350,1
2021,CLS350,1
2015,CLS400,15
2018,CLS450,13
2019,CLS450,11
2008,CLUBMAN,3
2016,CLUBMAN,31
2017,CLUBMAN,55
2018,CLUBMAN,34
2019,CLUBMAN,13
2020,CLUBMAN,7
2021,CLUBMAN,2
2013,COLORADO,935
2014,COLORADO,291
2015,COLORADO,210
2017,COLORADO,146
2004,COLT,20
2005,COLT,116
2007,COLT,2
2005,CONTINENTAL,32
2006,CONTINENTAL,66
2007,CONTINENTAL,43
2008,CONTINENTAL,41
2009,CONTINENTAL,17
2010,CONTINENTAL,40
2011,CONTINENTAL,33
2002,COOPER,153
2003,COOPER,223
2004,COOPER,252
2005,COOPER,487
2006,COOPER,332
2007,COOPER,533
2008,COOPER,428
2009,COOPER,290
2010,COOPER,357
2011,COOPER,648
2012,COOPER,647
2013,COOPER,671
2014,COOPER,783
2017,COOPER,1044
2021,COPEN,2
1983,COROLLA,2696
1989,COROLLA,1773
1990,COROLLA,2898
1991,COROLLA,3130
1992,COROLLA,4902
1993,COROLLA,3749
1994,COROLLA,4456
1995,COROLLA,4650
1996,COROLLA,5415
1997,COROLLA,4467
1998,COROLLA,800
1999,COROLLA,1899
2000,COROLLA,1762
1992,CORONA,247
1982,CORVETTE,2
2015,CORVETTE,1
2010,COUNTRYMAN,27
2011,COUNTRYMAN,118
2012,COUNTRYMAN,73
2013,COUNTRYMAN,54
2014,COUNTRYMAN,50
2015,COUNTRYMAN,24
2016,COUNTRYMAN,19
2017,COUNTRYMAN,41
2018,COUNTRYMAN,11
2019,COUNTRYMAN,12
2020,COUNTRYMAN,1
1994,CRESTA,2
2023,CRETA,4
2013,CROSSOVER,11
2017,CROSSOVER,12
2019,CROSSOVER,15
2020,CROSSOVER,1
2008,CROSSROAD,17
2002,CROWN,1
2013,CROWN,24
2018,CROWN,8
2019,CROWN,7
2021,CROWN,3
2010,CRUZE,491
2011,CRUZE,382
2012,CRUZE,450
2013,CRUZE,335
2014,CRUZE,35
2015,CRUZE,67
1996,CR-V,515
1997,CR-V,624
1998,CR-V,237
2000,CR-V,48
2001,CR-V,91
2002,CR-V,2228
2003,CR-V,2318
2004,CR-V,934
2005,CR-V,1801
2006,CR-V,987
2007,CR-V,4507
2008,CR-V,3676
